,BUSI_PROFITS,NET_INCM,TTL_LIAB,CREDIT_RNK,INTEREST
0,1446963739,-7374632256,157122166163,5,3.7
1,-10770463240,-12575176903,10747393473,3,1.9
2,-871043184,2990978124,39230030342,5,1.86
3,-1279963471,5642830132,33229067152,2,1.45
4,-7659578032,-6774265651,13791698222,3,1.75
5,9110041875,11324024146,51436910441,5,1.73
6,-9428069686,-9504672687,4632283170,5,1.96
7,-7885900034,-15968287891,65558445147,5,2.82
8,-5925667076,-5674081218,25688619181,4,1.91
9,-3689907347,-7533672879,11073349372,6,2.05
10,12005224140,11174367864,78835051876,7,2.13
11,-5168126058,-9167810717,18237749117,4,1.96
12,-2010969603,-12171761725,19067809120,4,2.07
13,5010810333,3579659649,52831391460,4,1.85
14,2472936549,496368021,23203123479,5,1.82
15,-8894840290,-7034543398,147541375574,4,3.42
16,-11002946347,-15056316602,37332397532,5,2.45
17,-4559128243,-4045845574,28605617498,6,2.09
18,1465813009,-5573729804,54480369572,6,2.37
19,238383205,-786004664,7457135391,4,1.64
20,1358151097,-2727075568,14561793587,6,1.94
21,2045920047,1626325317,16781461996,4,1.64
22,-7865733942,-21002019710,39583162383,4,2.63
23,-5225617281,-18442063337,22188401988,2,2.12
24,-4921562186,4221616314,101655639329,3,2.17
25,9039406223,10528931301,150173026221,4,2.54
26,846064768,10547375273,41419023609,4,1.58
27,-2954362248,-4357054012,18249176671,4,1.81
28,-4290523298,-5459046951,28150946937,5,2.03
29,-763184174,-3178682411,26967633804,6,2.05
30,-5450503281,-5606227254,19208198330,4,1.86
31,315942198,-5227677619,44930656960,5,2.16
32,-4871936352,-10571066972,44995952402,4,2.26
33,-971911293,-5093386265,3573798198,5,1.83
34,-3263200694,-2669962175,3486713983,3,1.56
35,-4076420586,15717091869,75836290381,4,1.69
36,-812488137,-3454622888,55787493323,5,2.2
37,3493776788,-3160515947,43638560427,6,2.18
38,-2224243696,-2783276023,13604552977,5,1.84
39,365217529,-4022906559,85936321680,4,2.43
40,4673213081,5931264202,53478480440,4,1.79
41,4142845851,-22675632754,2944399339,3,2.19
42,-2790221461,-5791304281,4973393925,2,1.55
43,-1340747596,-4118661092,7774097862,6,1.93
44,1503201824,9194392697,20326679673,4,1.49
45,-278900491,135420582,19336103800,5,1.8
46,512339686,5403460322,72696798608,4,1.96
47,4709367023,3223560076,26738469956,6,1.87
48,-771578849,-3781297232,2901842045,3,1.59
49,8817160238,7840103594,10146944006,5,1.56
50,-3067389602,-1865835716,15676254153,5,1.83
51,8758030218,8431990201,4436872758,5,1.51
52,-6536567328,-13615708276,30593245947,4,2.23
53,7524765749,5565698948,60632887750,5,1.96
54,3362816000,2376958781,54870612843,5,2.0
55,6007433521,2127650992,84853335062,5,2.28
56,1403130168,1040195466,2648377034,3,1.46
